,game_title,platform,year,genre,publisher,north_america,europe,japan,rest_of_world,global,review
1196,Forza: Horizon,X360,2012,Racing,Microsoft Game Studios,0.53,0.57,0.03,0.14,1.27,86.19
1197,Sonic Adventure DX: Director's Cut,GC,2003,Platform,Sega,0.87,0.3,0.06,0.03,1.27,78.0
1198,Jet Li: Rise to Honor,PS2,2004,Action,Sony Computer Entertainment,0.62,0.48,0.0,0.16,1.27,76.0
1199,Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27,85.0
1200,Devil Dice,PS,1998,Puzzle,Sony Computer Entertainment,0.05,0.03,1.1,0.08,1.26,78.0
1201,EA Playground,Wii,2007,Sports,Electronic Arts,0.68,0.46,0.0,0.13,1.26,66.89
1202,Mafia II,PS3,2010,Action,Take-Two Interactive,0.4,0.6,0.04,0.22,1.26,84.0
1203,NBA 2K9,X360,2008,Sports,Take-Two Interactive,1.0,0.16,0.0,0.11,1.26,86.0
1204,Grand Theft Auto: Chinatown Wars,DS,2009,Adventure,Take-Two Interactive,0.56,0.52,0.05,0.13,1.26,87.0
1205,Toy Story 3: The Video Game,Wii,2010,Action,Disney Interactive Studios,0.56,0.57,0.0,0.14,1.26,75.0
1206,Bakugan: Battle Brawlers,DS,2009,Action,Activision,1.16,0.01,0.0,0.1,1.26,63.23
1207,Wheel of Fortune,PS,1998,Misc,Hasbro Interactive,0.99,0.22,0.0,0.04,1.26,74.44
1208,The Beatles: Rock Band,X360,2009,Misc,MTV Games,0.94,0.21,0.0,0.11,1.26,87.0
1209,High School Musical 3: Senior Year DANCE!,Wii,2008,Misc,Disney Interactive Studios,0.64,0.48,0.0,0.13,1.26,36.0
1210,Dead Space 2,PS3,2011,Shooter,Electronic Arts,0.65,0.42,0.0,0.19,1.25,89.22
1211,[Prototype],X360,2009,Action,Activision,0.8,0.33,0.0,0.12,1.25,81.81999999999998
1212,Call of Duty: Black Ops,Wii,2010,Shooter,Activision,0.72,0.41,0.0,0.13,1.25,85.88
1213,UFC Undisputed 2010,X360,2010,Fighting,THQ,0.85,0.2899999999999999,0.0,0.12,1.25,81.0
1214,NBA Live 2001,PS,2000,Sports,Electronic Arts,0.7,0.47,0.0,0.08,1.25,82.67
1215,Star Wars: The Force Unleashed,PS2,2008,Action,LucasArts,0.49,0.6,0.01,0.16,1.25,81.0
1216,Star Wars: The Force Unleashed II,PS3,2010,Action,LucasArts,0.7,0.37,0.0,0.18,1.25,74.0
1217,Disney Princess: Enchanted Journey,Wii,2007,Adventure,Disney Interactive Studios,1.15,0.01,0.0,0.1,1.25,64.0
1218,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25,65.0
1219,Reel Fishing,PS,1996,Sports,Natsume,0.99,0.13,0.1,0.04,1.25,55.0
1220,Max Payne 3,X360,2012,Shooter,Take-Two Interactive,0.72,0.39,0.01,0.12,1.25,84.75
1221,F1 2010,PS3,2010,Racing,Codemasters,0.22,0.7,0.08,0.24,1.25,86.0
1222,LEGO Pirates of the Caribbean: The Video Game,Wii,2011,Action,Disney Interactive Studios,0.6,0.52,0.0,0.13,1.25,74.95999999999998
1223,Pokémon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo,0.71,0.19,0.31,0.03,1.25,81.0
1224,Black,PS2,2006,Shooter,Electronic Arts,1.01,0.04,0.03,0.16,1.25,79.93
1225,Kinect Joy Ride,X360,2010,Racing,Microsoft Game Studios,0.77,0.35,0.0,0.12,1.25,55.85
1226,Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive,0.39,0.71,0.0,0.15,1.25,65.0
1227,Battlefield: Bad Company,PS3,2008,Shooter,Electronic Arts,0.73,0.31,0.05,0.16,1.25,84.79
1228,Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,Eidos Interactive,0.61,0.48,0.0,0.16,1.25,66.0
1229,Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,Ubisoft,0.52,0.56,0.0,0.17,1.25,86.74
1230,Road Rash 3D,PS,1998,Racing,Electronic Arts,1.05,0.16,0.0,0.04,1.25,75.0
1231,Ratchet: Deadlocked,PS2,2005,Shooter,Sony Computer Entertainment,0.85,0.03,0.22,0.14,1.24,89.0
1232,Baldur's Gate: Dark Alliance,PS2,2001,Role-Playing,Pacific Century Cyber Works,0.61,0.48,0.0,0.16,1.24,82.83
1233,Gold's Gym: Cardio Workout,Wii,2008,Sports,Ubisoft,1.07,0.02,0.06,0.09,1.24,75.0
1234,Oddworld: Abe's Oddysee,PS,1997,Platform,GameBank,0.75,0.44,0.0,0.06,1.24,87.0
1235,MotorStorm: Pacific Rift,PS3,2008,Racing,Sony Computer Entertainment,0.39,0.6,0.02,0.24,1.24,82.49
1236,Ridge Racer V,PS2,2000,Racing,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24,76.0
1237,Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Deep Silver,0.94,0.2,0.0,0.11,1.24,31.0
